fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2
0.0,0.0092,0.01,0.94278,0.0,3.41094,0.80414,8.01725,0.48849,1.50881,0.0324,0.77078,0.47217,0.0,0.10176,0.50422,0.00444,0.0,0.00751,0.39784,0.0,1.0,0.01329,0.0,0.0,2
0.0,0.01,0.01235,0.94268,0.001,3.4121,0.60718,9.29282,0.48721,2.21581,0.02955,0.80109,0.47612,0.0,0.09704,0.62335,0.00269,0.001,0.00642,0.39362,0.00321,0.85945,0.01957,0.00237,0.01015,2
0.0,0.01,0.01,0.93636,0.00074,3.31642,0.55958,8.46034,0.79357,1.81448,0.01535,0.7026,0.442,0.00937,0.07973,0.61621,0.00088,0.0,0.00067,0.47654,0.00268,0.88004,0.01758,0.00135,0.0,2
0.0,0.00553,0.01347,0.9422,0.00017,3.38024,0.62517,10.48314,0.43457,1.9818,0.0265,0.78538,0.48227,0.0,0.09542,0.59113,0.00245,0.00062,0.00882,0.44858,0.00202,0.854,0.01642,0.00116,0.00759,2
0.0,0.00665,0.01238,0.92705,0.00024,3.06381,0.5187,10.88241,0.47694,1.88243,0.03388,0.53185,0.49036,0.0,0.10284,0.59545,0.0,0.00059,0.00775,0.4737,0.00319,0.96042,0.02354,0.00238,0.01049,2
0.0,0.00592,0.01,0.94175,0.00054,3.18377,0.73796,10.76919,0.72767,2.63654,0.03498,0.70588,0.43739,0.0096,0.114,0.59569,0.00396,0.00025,0.00837,0.43756,0.00033,1.0,0.01506,0.00016,0.00481,2
0.0,0.00784,0.01132,0.88114,0.0,3.15467,0.59122,8.24105,1.06179,2.55164,0.02013,0.76794,0.45304,0.00323,0.08437,0.4795,0.00368,0.001,0.0,0.487,0.00289,0.91421,0.01638,0.00242,0.0,2
0.0,0.00585,0.01,0.94669,0.0,3.34911,0.70401,9.0276,0.59294,2.58372,0.04576,0.61287,0.55145,0.00921,0.09351,0.64536,0.00309,0.0008,0.00188,0.45067,0.0,1.0,0.02289,0.00164,0.00028,2
0.0,0.00643,0.0102,0.79221,0.00042,3.41132,0.69202,8.72565,0.60746,1.82955,0.01241,0.8032,0.41535,0.00264,0.07392,0.57051,0.00078,0.00042,0.00447,0.51677,0.00233,1.0,0.02289,0.0019,0.00503,2
0.0,0.00873,0.01,0.96062,0.00041,3.17878,0.75889,9.11114,0.50756,2.75512,0.04779,0.80678,0.52767,0.00831,0.11178,0.72215,0.00058,0.00095,0.00063,0.44764,0.00039,0.99951,0.01166,0.00173,5e-05,3
0.0,0.01,0.01289,0.89892,0.00074,3.06941,0.63642,6.93046,0.42423,1.94213,0.01888,0.75688,0.52129,0.00918,0.09658,0.52948,9e-05,0.00097,0.00747,0.48571,0.00227,0.67849,0.00188,0.00234,0.0047,2
0.0,0.00702,0.01059,0.92458,0.00065,2.4518,0.66707,10.79743,0.45569,2.84189,0.03142,0.84309,0.66864,0.00747,0.07716,0.63616,0.00324,0.0004,0.01136,0.40128,0.00142,1.0,0.0,0.0,0.00316,2
0.0,0.00985,0.01387,0.85528,2e-05,3.20191,0.80689,9.2761,0.47852,3.85819,0.04086,0.73157,0.47528,0.01073,0.10798,0.5059,0.00251,0.001,0.00312,0.33029,0.00134,1.0,0.02204,0.00269,0.00629,2
0.0,0.00973,0.01405,0.94095,0.0001,3.07163,0.37371,7.5174,0.42099,1.10594,0.0241,0.64595,0.43565,0.00917,0.07751,0.60835,0.00196,0.00079,0.00118,0.47629,0.00319,0.96926,0.02688,0.0,0.00765,2
0.0,0.00751,0.01371,0.95425,0.001,3.8209,0.59665,10.04203,0.73624,1.73252,0.02632,0.56601,0.55769,0.00458,0.10734,0.55762,0.00052,0.0,0.00661,0.5598,0.00089,0.96089,0.03661,0.0012,0.00403,2
0.0,0.00573,0.01241,0.89058,0.00046,3.57204,0.57485,10.42197,0.80961,1.77643,0.0531,0.67126,0.56736,0.00652,0.09838,0.44624,0.0021,0.0007,0.00668,0.47688,0.00305,1.0,0.02355,0.00106,0.00729,3
0.0,0.0054,0.01164,0.95264,0.00018,3.17973,0.63498,7.45583,0.58777,2.16422,0.01826,0.77627,0.3977,0.00052,0.09994,0.66874,0.00406,0.0,0.00353,0.42451,0.00191,0.95869,0.00947,0.00131,0.00125,2
0.0,0.00673,0.01069,0.94229,8e-05,3.07589,0.78718,9.6639,0.53758,1.65085,0.04359,0.4981,0.4033,0.00506,0.11534,0.61906,0.00269,0.0007,0.00804,0.43321,0.00364,0.9746,0.00051,0.00223,0.0,2
0.0,0.01,0.01157,0.78647,0.0,3.32728,0.57697,9.06749,0.9475,1.93152,0.023,0.61184,0.43597,0.00849,0.08335,0.46408,0.0,0.00082,0.0,0.53119,0.00354,0.90362,0.01645,0.00083,0.00174,2
0.0,0.01,0.01,0.89814,0.0002,3.41679,0.71268,6.50598,1.27693,1.45878,0.023,0.71525,0.47972,0.01088,0.10283,0.70279,0.0,0.00023,0.00594,0.41955,0.00015,0.76209,0.01574,0.00088,0.0,2
0.0,0.01,0.01224,0.9154,0.00045,3.29421,0.40216,9.77656,1.10927,2.27251,0.02098,0.74288,0.47453,0.00871,0.09907,0.57722,0.00467,0.00072,0.00157,0.54192,0.00036,1.0,0.00842,0.0029,0.0,2
0.0,0.00858,0.01249,0.83761,0.001,3.4393,0.65002,7.97812,0.83127,2.11231,0.03138,0.8374,0.41037,0.00317,0.07536,0.59534,0.00325,0.00074,0.00594,0.46448,0.00013,1.0,0.01766,0.00077,0.00574,2
0.0,0.00777,0.01293,0.87745,0.00046,3.16751,0.73335,10.23097,0.42158,1.92442,0.03036,0.54488,0.4791,0.0103,0.10055,0.48686,0.00017,0.00082,0.00509,0.44648,0.00271,0.70986,0.01735,0.00221,0.00863,2
0.0,0.00917,0.01338,0.93153,5e-05,2.85146,0.73281,10.7468,0.65798,1.70681,0.02727,0.57918,0.43656,0.00073,0.08092,0.50677,0.00383,0.0,0.00014,0.62098,0.00036,1.0,0.01347,0.00249,0.00978,2
0.0,0.00526,0.01823,0.90085,0.00019,2.95759,0.68022,8.58509,0.73467,3.6048,0.03091,0.69459,0.4823,0.00557,0.11958,0.53783,0.0,0.0,0.0065,0.37542,0.00222,0.97108,0.01645,0.00012,0.00236,2
0.0,0.01,0.01087,0.93875,0.0,3.7938,0.62487,10.61176,0.76414,1.31591,0.01627,0.65709,0.55269,0.0,0.10821,0.49799,0.00391,0.00047,0.00905,0.51618,0.00113,0.95226,0.01305,0.00079,0.0024,2
0.0,0.00777,0.01266,0.90551,0.0,3.23152,0.95,11.31657,1.00226,2.54102,0.03965,0.56972,0.44565,0.00099,0.11064,0.62865,0.00592,0.00026,0.00544,0.40984,0.0017,0.91736,0.02634,0.00038,0.0,2
0.0,0.0053,0.01321,0.9218,0.0006,3.26156,0.66522,10.112,0.5615,1.69762,0.05403,0.81279,0.46893,0.00561,0.10279,0.50556,0.00239,0.0,0.0,0.38644,0.00216,0.77928,0.0184,0.00284,0.0,2
0.0,0.00873,0.01275,0.93845,0.0005,3.5673,0.48817,13.8096,0.68976,2.38263,0.02965,0.48566,0.43601,0.00029,0.12929,0.61627,0.00083,0.00085,0.00018,0.46732,0.00052,0.95725,0.02424,0.00095,0.00902,1
0.0,0.00532,0.01347,0.96732,2e-05,2.98669,0.44609,11.14995,0.47216,2.3125,0.05742,0.59106,0.46935,0.00834,0.10497,0.66285,0.00441,0.0,1e-05,0.4327,0.0,0.95807,0.0272,0.00056,0.00874,3
0.0,0.01,0.01036,0.85801,0.001,3.45584,0.74912,7.55372,0.72021,2.70607,0.01997,0.41236,0.53995,0.0023,0.10649,0.5989,0.0,0.00061,0.00344,0.23024,0.0,0.91019,0.00881,0.0,0.00121,2
0.0,0.00666,0.01245,0.9152,0.00016,3.30564,0.75354,6.74292,0.77643,2.53336,0.03356,0.55114,0.40977,0.00276,0.13109,0.64089,0.00115,0.0,6e-05,0.39007,0.00083,1.0,0.01583,0.00132,0.0,2
0.0,0.00951,0.01133,0.94291,0.00066,3.07664,0.95,8.15021,0.53859,1.41369,0.01959,0.64218,0.43741,0.00312,0.11404,0.51831,0.00196,0.00053,0.0019,0.44367,0.0011,1.0,0.0,0.00247,0.0,2
0.0,0.01,0.01,0.92128,0.00014,3.23163,0.67753,10.67304,1.08681,2.19954,0.04242,0.71702,0.53567,0.00918,0.10155,0.60233,0.0047,0.001,0.00445,0.4588,0.00022,0.93671,0.01978,0.00174,0.0047,2
0.0,0.00506,0.01062,0.89388,0.00092,2.92977,0.48847,8.43933,0.55784,3.14969,0.0468,0.7847,0.42938,0.00151,0.10771,0.59081,0.00153,0.00043,0.00952,0.48423,0.00197,1.0,0.0232,0.0,0.0116,2
0.0,0.00732,0.0121,0.936,0.001,3.0446,0.65361,9.7396,0.80365,3.75461,0.03262,0.71243,0.43138,0.00586,0.08839,0.55509,5e-05,0.00054,0.00563,0.2904,0.00022,0.96549,0.00225,0.00268,0.01049,2
0.0,0.00727,0.01161,0.90317,0.00047,2.3545,0.54801,5.57315,0.57822,1.92732,0.02058,0.52226,0.39212,0.00612,0.07965,0.51866,0.00349,0.00042,0.0,0.42784,0.0,0.98361,0.00111,0.00167,0.00067,2
0.0,0.01,0.01329,0.96644,0.00071,2.06504,0.81155,7.25308,0.53463,2.06117,0.02686,0.69957,0.57743,0.00272,0.07377,0.59024,0.00334,0.0008,0.00063,0.44759,0.00184,0.88578,0.00798,0.00118,0.00093,2
