epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.099,1.39457,1.47119,1.02384,0.51368,0.4761,0.45323,0.28846,1.51404,1.65281,1.13814,0.000676948,0.000676948,0.0690439
2,486.023,1.36202,1.31035,1.01399,0.64137,0.49016,0.52983,0.33905,1.44159,1.43968,1.10663,0.00132209,0.00132209,0.038013
3,725.227,1.27534,1.19489,0.98068,0.63226,0.53138,0.56264,0.37168,1.33004,1.35985,1.05483,0.00184112,0.00184112,0.00685612
4,963.608,1.19805,1.08201,0.94371,0.68495,0.57852,0.61564,0.41716,1.23792,1.1767,1.00865,0.00170471,0.00170471,0.00170471
5,1202.2,1.13508,1.01146,0.91487,0.70173,0.60916,0.65622,0.45419,1.1677,1.11634,0.97405,0.00141033,0.00141033,0.00141033
6,1437.62,1.09539,0.91458,0.8846,0.71711,0.60255,0.66274,0.46276,1.14677,1.09229,0.96548,0.00108402,0.00108402,0.00108402
7,1673.01,1.02243,0.82812,0.85111,0.71596,0.66238,0.68369,0.48318,1.08764,1.01363,0.94066,0.0007577,0.0007577,0.0007577
8,1908.29,0.96131,0.75787,0.82797,0.70554,0.66877,0.70194,0.50778,1.06046,0.98936,0.92488,0.000463326,0.000463326,0.000463326
9,2143.18,0.90775,0.69799,0.80635,0.73445,0.6744,0.70617,0.51663,1.03563,0.97323,0.91965,0.000229709,0.000229709,0.000229709
10,2377.97,0.87561,0.66296,0.79319,0.7417,0.67385,0.70816,0.52136,1.03295,0.96685,0.92001,7.97175e-05,7.97175e-05,7.97175e-05
