epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.473,1.39457,1.47119,1.02384,0.51368,0.4761,0.45323,0.28846,1.51404,1.65281,1.13814,0.000676948,0.000676948,0.0690439
2,478.904,1.36616,1.31422,1.01786,0.6615,0.46857,0.5262,0.33847,1.40927,1.46846,1.09979,0.00134658,0.00134658,0.0380375
3,719.76,1.28903,1.20954,0.98728,0.63002,0.55099,0.57863,0.37752,1.34349,1.31552,1.05893,0.00198359,0.00198359,0.00699859
4,959.789,1.21959,1.10917,0.95249,0.67107,0.58082,0.62269,0.41852,1.23459,1.19436,1.00572,0.0020249,0.0020249,0.0020249
5,1200.35,1.16751,1.04655,0.92758,0.68497,0.61381,0.65937,0.45103,1.1939,1.137,0.99457,0.00193833,0.00193833,0.00193833
6,1440.37,1.11908,0.98933,0.91024,0.69197,0.62308,0.67583,0.46357,1.15584,1.07592,0.97507,0.00183071,0.00183071,0.00183071
7,1680.24,1.09038,0.94725,0.89492,0.71177,0.60993,0.66208,0.45948,1.15163,1.05588,0.97366,0.00170471,0.00170471,0.00170471
8,1919.7,1.05174,0.90328,0.8796,0.71766,0.63273,0.679,0.47855,1.12949,1.06031,0.9653,0.00156342,0.00156342,0.00156342
9,2159.93,1.03223,0.87027,0.86861,0.72719,0.6519,0.70266,0.498,1.09041,0.9981,0.94652,0.00141033,0.00141033,0.00141033
10,2398.89,0.99328,0.83636,0.85494,0.72855,0.66027,0.69971,0.49331,1.08981,1.00741,0.94251,0.00124921,0.00124921,0.00124921
11,2635.43,0.97043,0.76616,0.82989,0.75486,0.63555,0.69736,0.49667,1.08729,1.00023,0.94168,0.00108402,0.00108402,0.00108402
12,2870.72,0.93913,0.72686,0.81467,0.73144,0.64768,0.6924,0.49906,1.07422,1.006,0.93992,0.000918825,0.000918825,0.000918825
13,3106.1,0.91475,0.69403,0.80417,0.72595,0.65574,0.70659,0.51144,1.07011,0.99612,0.94012,0.0007577,0.0007577,0.0007577
14,3341.39,0.87724,0.65768,0.78969,0.72343,0.67119,0.70241,0.50661,1.05637,0.98241,0.93786,0.000604611,0.000604611,0.000604611
15,3576.75,0.85172,0.62974,0.77891,0.73987,0.66534,0.72458,0.52407,1.03977,0.98134,0.92924,0.000463326,0.000463326,0.000463326
16,3812.14,0.81828,0.59899,0.76931,0.74932,0.66696,0.71355,0.52141,1.04276,0.99233,0.93545,0.000337324,0.000337324,0.000337324
17,4048.2,0.80661,0.58406,0.76412,0.75547,0.67016,0.71946,0.52524,1.03382,0.98237,0.9355,0.000229709,0.000229709,0.000229709
18,4284.21,0.78213,0.56023,0.7559,0.75555,0.67867,0.728,0.53315,1.03011,0.98144,0.93296,0.000143129,0.000143129,0.000143129
19,4519.67,0.77255,0.5494,0.75216,0.75925,0.67459,0.72217,0.53176,1.02966,0.98857,0.93702,7.97175e-05,7.97175e-05,7.97175e-05
20,4755.62,0.7695,0.54494,0.74971,0.75606,0.67729,0.72726,0.53235,1.02586,0.98875,0.9356,4.10349e-05,4.10349e-05,4.10349e-05
